"code_module" "code_presentation" "id_student" "gender" "region" "highest_education" "imd_band" "age_band" "num_of_prev_attempts" "studied_credits" "disability" "final_result" "score_exam" "wscore_tmas" "wscore_cmas" "sum_click_total"
"AAA" "2013J" 100893 "M" "Yorkshire Region" "A Level or Equivalent" "20-30%" "0-35" 0 60 "N" "Pass" NA 68.7 NA 744
"AAA" "2013J" 101781 "M" "South Region" "Lower Than A Level" "80-90%" "35-55" 0 60 "N" "Pass" NA 71.6 NA 4104
"AAA" "2013J" 102806 "M" "North Western Region" "A Level or Equivalent" "30-40%" "0-35" 0 60 "N" "Pass" NA 76 NA 1944
"AAA" "2013J" 102952 "M" "London Region" "HE Qualification" "60-70%" "0-35" 0 60 "N" "Pass" NA 77.1 NA 1150
"AAA" "2013J" 1035023 "F" "London Region" "Lower Than A Level" "30-40%" "35-55" 0 60 "N" "Pass" NA 69.9 NA 1896
"AAA" "2013J" 104476 "M" "Ireland" "Post Graduate Qualification" "" "35-55" 0 60 "N" "Pass" NA 78.9 NA 4777
"AAA" "2013J" 106577 "M" "East Midlands Region" "Lower Than A Level" "20-30%" "0-35" 0 60 "N" "Pass" NA 54.2 NA 733
"AAA" "2013J" 110175 "M" "East Anglian Region" "HE Qualification" "80-90%" "35-55" 0 60 "N" "Pass" NA 63.7 NA 998
"AAA" "2013J" 1105478 "M" "Scotland" "HE Qualification" "80-90%" "55<=" 0 60 "N" "Pass" NA 81.2 NA 1695
"AAA" "2013J" 111717 "F" "East Anglian Region" "HE Qualification" "90-100%" "35-55" 0 60 "N" "Pass" NA 48.9 NA 2343
"AAA" "2013J" 113295 "M" "Yorkshire Region" "Lower Than A Level" "60-70%" "35-55" 0 60 "N" "Pass" NA 77.3 NA 3553
"AAA" "2013J" 11391 "M" "East Anglian Region" "HE Qualification" "90-100%" "55<=" 0 240 "N" "Pass" NA 82.4 NA 934
"AAA" "2013J" 114017 "F" "North Region" "Post Graduate Qualification" "" "35-55" 0 60 "N" "Pass" NA 72.3 NA 757
"AAA" "2013J" 114999 "M" "Yorkshire Region" "HE Qualification" "60-70%" "35-55" 0 60 "N" "Pass" NA 70.8 NA 1358
"AAA" "2013J" 116541 "M" "Wales" "HE Qualification" "0-10%" "0-35" 0 60 "N" "Pass" NA 59.8 NA 1886
"AAA" "2013J" 116692 "M" "East Anglian Region" "A Level or Equivalent" "70-80%" "35-55" 0 60 "N" "Pass" NA 74.2 NA 1108
"AAA" "2013J" 118983 "M" "East Midlands Region" "HE Qualification" "30-40%" "0-35" 0 120 "N" "Pass" NA 59 NA 284
"AAA" "2013J" 123044 "M" "South Region" "A Level or Equivalent" "40-50%" "35-55" 0 60 "N" "Pass" NA 70.7 NA 2041
"AAA" "2013J" 127582 "F" "East Midlands Region" "A Level or Equivalent" "40-50%" "0-35" 0 180 "N" "Pass" NA 69.4 NA 1321
"AAA" "2013J" 132976 "F" "East Anglian Region" "Lower Than A Level" "80-90%" "35-55" 0 120 "N" "Pass" NA 67.3 NA 520
"AAA" "2013J" 134143 "F" "South East Region" "A Level or Equivalent" "90-100%" "35-55" 0 60 "N" "Distinction" NA 83.8 NA 2732
"AAA" "2013J" 137873 "M" "South West Region" "A Level or Equivalent" "40-50%" "35-55" 0 60 "N" "Pass" NA 81.7 NA 5528
"AAA" "2013J" 1401935 "M" "West Midlands Region" "A Level or Equivalent" "70-80%" "35-55" 0 60 "N" "Fail" NA 9.5 NA 240
"AAA" "2013J" 1402638 "F" "East Midlands Region" "HE Qualification" "30-40%" "35-55" 0 60 "N" "Pass" NA 75 NA 910
"AAA" "2013J" 141355 "F" "East Midlands Region" "A Level or Equivalent" "30-40%" "0-35" 0 240 "N" "Pass" NA 72 NA 1823
"AAA" "2013J" 1414443 "F" "Yorkshire Region" "A Level or Equivalent" "10-20" "35-55" 0 120 "N" "Fail" NA 17.8 NA 1907
"AAA" "2013J" 142326 "F" "North Region" "A Level or Equivalent" "50-60%" "35-55" 0 60 "N" "Pass" NA 75.3 NA 2121
"AAA" "2013J" 144801 "F" "South Region" "HE Qualification" "80-90%" "35-55" 0 60 "N" "Pass" NA 70.6 NA 5645
"AAA" "2013J" 145130 "M" "South West Region" "HE Qualification" "60-70%" "0-35" 0 120 "N" "Pass" NA 53.2 NA 452
